Organization,Number of Awards,Total Funding,Number of Researchers,Avg Funding per Award
GIANT BIOSYSTEMS INC.,1,305000.0,1,305000.0
"BioAmp Diagnostics, Inc.",1,1000000.0,1,1000000.0
"Repela Tech, LLC",1,993788.0,1,993788.0
Athens State University,1,400000.0,3,400000.0
"SPHEROFILL, LLC",1,255391.0,2,255391.0
INFUSENSE LLC,2,1253442.0,2,626721.0
NEUROBIONICS INC,1,254456.0,1,254456.0
SILARTEK LLC,1,255730.0,1,255730.0
"Leading Edge Crystal Technologies, Inc.",1,998820.0,2,998820.0
METABOB INC,1,246700.0,1,246700.0
"Ras Labs, Inc.",1,743907.0,1,743907.0
Heila Technologies Inc.,1,999597.0,1,999597.0
"ALIRO TECHNOLOGIES, INC.",1,255682.0,2,255682.0
PHYTOSTONE LLC,1,273652.0,1,273652.0
"FLUXWORKS, INC.",2,1497954.0,2,748977.0
University of Maryland Center for Environmental Sciences,3,6300000.0,7,2100000.0
"Etaphase, Incorporated",1,750000.0,1,750000.0
"LEXEL SYNERGETICS, INC.",2,560994.0,1,280497.0
"POWER FOR HUMANITY, INC.",1,255703.0,1,255703.0
INCUENTRO LLC,1,304951.0,2,304951.0
ZEBRAMD INC.,1,275000.0,1,275000.0
RESET WATER LLC,1,275000.0,2,275000.0
INFRASTRUCTURE ANALYTICS COMPANY,1,256000.0,1,256000.0
"MANA BATTERY, INC.",1,275000.0,1,275000.0
GEOLABE LLC,1,254707.0,1,254707.0
"REMEDIUM BIO, INC",1,274966.0,1,274966.0
MARWELL BIO INC.,1,274822.0,1,274822.0
BIOAESTHETICS CORPORATION,1,251208.0,1,251208.0
PARAMOUNT PLANET PRODUCT,1,986583.0,1,986583.0
Regents of the University of Idaho,1,1000000.0,7,1000000.0
Arieca Inc.,2,1114700.0,1,557350.0
PROTEIN ENGINES LLC,1,256000.0,1,256000.0
PatentDive,1,750000.0,1,750000.0
"GNU COMPANY, LLC",1,249369.0,1,249369.0
MARLEY ENVIRONMENTAL INC,1,256000.0,1,256000.0
MIMIC SYSTEMS INC,1,275000.0,1,275000.0
University of Arkansas Agricultural Experiment Station,1,50000.0,1,50000.0
Bansen Labs LLC,1,1000000.0,2,1000000.0
"SAMARA AEROSPACE, INC.",1,274993.0,2,274993.0
HYSA FILLERS L.L.C.,2,1505705.0,2,752852.5
"RHAEOS, INC",1,978557.0,1,978557.0
"CENTER ON RURAL INNOVATION, INC",1,300000.0,2,300000.0
"NOVINEER, INC.",2,1520669.0,1,760334.5
Marymount University,1,400000.0,5,400000.0
"SYNSORYBIO, INC.",1,275000.0,1,275000.0
LEAFICIENT INC,1,274525.0,1,274525.0
MICHIGAN STATE UNIVERSITY FOUNDATION,1,999547.0,5,999547.0
University of the Pacific,1,400000.0,3,400000.0
"Proteios Technology, Inc.",1,750000.0,1,750000.0
"ADVANCED REMOTE SENSING, INC.",1,682948.0,1,682948.0
"SUFFICIENTLY ADVANCED, INC.",1,275000.0,1,275000.0
ZITECHNOLOGIES INC.,1,256000.0,2,256000.0
ALUMINIO INC.,1,274723.0,1,274723.0
Northeast State Technical Community College,1,299997.0,2,299997.0
"LUCENDI, INC.",1,1000000.0,1,1000000.0
"ORGANICSMART, INC.",1,255786.0,1,255786.0
"REQYRD, INC.",1,275000.0,1,275000.0
CLEAVED DIAGNOSTIC CORPORATION,1,305000.0,1,305000.0
"Symbrosia, Inc.",2,1256000.0,1,628000.0
WAYFARER AIRCRAFT RESEARCH AND DEVELOPMENT INC.,1,255843.0,2,255843.0
"MANTEL CAPTURE, INC.",1,274724.0,1,274724.0
Valdosta State University,1,379867.0,4,379867.0
DURAVAX INC,1,274991.0,2,274991.0
"APPLIED RESEARCH TEAM, INC.",1,275000.0,1,275000.0
VORTEX SPACE SYSTEMS LLC,1,274454.0,2,274454.0
SILICON ASSURANCE LLC,2,1163793.0,2,581896.5
SOVE INC.,1,225000.0,2,225000.0
Ronin Institute for Independent Scholarship Incorporated,1,50000.0,1,50000.0
"SANGALI, INC.",1,275000.0,1,275000.0
"LUNEXUS SPACE, LLC",1,275000.0,1,275000.0
WATER INTELLIGENCE LLC,1,256000.0,2,256000.0
CORDANCE MEDICAL INC.,1,998501.0,1,998501.0
"ATHERAXON, INC.",1,1000000.0,1,1000000.0
"NBN TECHNOLOGIES, LLC",1,920766.0,1,920766.0
"QUADRATIC 3D, INC.",1,255352.0,2,255352.0
"Cognii, Inc.",1,750000.0,1,750000.0
Big Blue Technologies LLC,1,700000.0,1,700000.0
"GREENKEY, LLC",1,275000.0,2,275000.0
"POWDER WATTS, LLC",1,274922.0,1,274922.0
"MAY & MEADOW, INC.",1,225000.0,1,225000.0
Miami University,1,75867.0,1,75867.0
EARLY ALZHEIMER'S DIAGNOSTICS LLC,1,274713.0,2,274713.0
"TALUS BIOSCIENCE, INC.",1,255831.0,1,255831.0
GRIDIRON ROBOTICS LLC,1,275000.0,1,275000.0
"MEDICARBONE, INC.",1,273563.0,1,273563.0
"AMBOTS, INC.",1,1000000.0,1,1000000.0
Loggerhead Instruments,1,962141.0,1,962141.0
"TOP GRAIN TECHNOLOGIES, INC.",1,275000.0,1,275000.0
"OMNICYTE, LLC",2,1253689.0,1,626844.5
"SCALAR MAGNETICS, LLC",1,225000.0,2,225000.0
2WITECH SOLUTIONS LLC,1,256000.0,1,256000.0
"MAKEFULLY, LLC",1,1000000.0,1,1000000.0
Villanova University,1,50000.0,1,50000.0
AMERICAN MAGNET CO LLC,1,273920.0,1,273920.0
FLUENT METAL INC.,1,305000.0,1,305000.0
"MINDPRINT LEARNING, LLC",1,948304.0,2,948304.0
Independence Community College,1,400000.0,1,400000.0
WORKERS FIRST LLC,1,256000.0,1,256000.0
"ULTINAT, INC.",1,305000.0,1,305000.0
"ERADIVIR, INC.",1,256000.0,2,256000.0
XN HEALTH INC.,1,274841.0,1,274841.0
"RAVEN SPACE SYSTEMS, INC.",1,275000.0,1,275000.0
"Stateless, Inc",1,750000.0,1,750000.0
LR INNOVOPTICS INC,1,305000.0,1,305000.0
"CURIEDX, INC",1,275000.0,1,275000.0
"ORTHOMECHANICA, INC.",1,275000.0,1,275000.0
"ATMOSENSE, INC.",1,274991.0,1,274991.0
"MATHINVESTMENTS, INC.",1,274936.0,2,274936.0
"WAVERLEY CREATIONS, INC.",1,275000.0,1,275000.0
GLOBAL ENERGY CORPORATION,1,274936.0,1,274936.0
JUGGERNAUT LIFE SCIENCES LLC,1,256000.0,3,256000.0
"HOOFPRINT BIOME, INC.",1,273111.0,1,273111.0
Louisiana State University Agricultural Center,2,1799588.0,9,899794.0
PRISAM LLC,1,256000.0,1,256000.0
"VenoStent, Inc",1,744224.0,1,744224.0
X-Therma Inc.,1,743322.0,1,743322.0
Texas A&M AgriLife Research,1,50000.0,1,50000.0
ATLANTA ANALYTICS LLC,1,268580.0,1,268580.0
"ICAMR, INC.",1,14938671.0,2,14938671.0
"FLUIDFORM, INC.",1,249644.0,1,249644.0
SandBox Semiconductor Incorporated,1,734805.0,1,734805.0
"CELADYNE TECHNOLOGIES, INC.",1,225000.0,1,225000.0
Activated Research Company,1,714151.0,1,714151.0
"FUNCTION THERAPEUTICS, INC.",1,274710.0,1,274710.0
"SALIENT PREDICTIONS, INC.",1,274912.0,1,274912.0
Emissol LLC,1,746477.0,1,746477.0
University of Detroit Mercy,1,400000.0,3,400000.0
ECHOICS,1,275000.0,2,275000.0
HELIOS POMPANO INC,2,1205845.0,1,602922.5
"Fortiphyte, Inc.",1,991857.0,1,991857.0
"CREATHADH ENERGIES, LLC",2,530000.0,1,265000.0
ROPLAGARIN LLC,1,222489.0,1,222489.0
"FYR DIAGNOSTICS, INC.",1,256000.0,1,256000.0
UNINET LLC,1,274944.0,1,274944.0
"MINTANGIBLE, INC.",1,275000.0,1,275000.0
The Texas A&M University System,1,300000.0,6,300000.0
NEARABL INC.,1,275000.0,2,275000.0
MINUTRI INC.,1,256000.0,1,256000.0
NANORES LLC,1,305000.0,1,305000.0
PREDICOR LLC,1,256000.0,1,256000.0
FORM FINDING STUDIO LLC,1,275000.0,1,275000.0
ECOSYSTEMONE LLC,1,255550.0,1,255550.0
"Kalion, Inc.",1,746822.0,2,746822.0
Novowi,1,740615.82,2,740615.82
DTP THERMOELECTRICS LLC,1,274773.0,1,274773.0
"Accelevir Diagnostics, LLC",1,500000.0,1,500000.0
CARRISAN TECHNOLOGIES INC.,1,255990.0,2,255990.0
"REVEL TECHNOLOGIES, INC.",2,1255999.0,1,627999.5
"Brainleap Technologies, Inc.",1,747753.0,1,747753.0
"AIR COMPANY HOLDINGS, INC.",2,1253743.0,3,626871.5
Florida Memorial University,1,400000.0,3,400000.0
University of San Francisco,1,399576.0,3,399576.0
Afsartech Inc.,1,274867.0,3,274867.0
"DRIVENDATA, INC.",1,256000.0,1,256000.0
ARITH INC.,1,256000.0,1,256000.0
"Zeteo Tech, Inc.",1,256000.0,1,256000.0
"INTEGRATED DYNAMICS, INC.",1,245300.0,1,245300.0
OBEEWAN TECHNOLOGIES INC,1,305000.0,1,305000.0
OPAL HTM INC,1,275000.0,2,275000.0
ArchDia LLC,1,274894.0,1,274894.0
BOTANY AI INC.,1,256000.0,1,256000.0
HEN NOZZLES INC.,1,1000000.0,1,1000000.0
"Cerillo, Inc",1,748389.0,1,748389.0
"MAMMAE BIOSCIENCES, INC.",1,271443.0,1,271443.0
"VINE MEDICAL, INC.",1,274440.0,1,274440.0
Western Washington University,1,400000.0,3,400000.0
"Stocastic, LLC",1,499999.0,1,499999.0
HEALTHTRENDS.AI LLC,1,256000.0,1,256000.0
"FLO MATERIALS, INC.",1,275000.0,2,275000.0
BLOCKY INC.,1,1000000.0,1,1000000.0
PARADOCS HEALTH INC.,1,275000.0,1,275000.0
"CONTEXTUALIZE, LLC",1,255964.0,1,255964.0
"MARINE TECHNOLOGY SOCIETY, INC.",1,49450.0,1,49450.0
BEHAIVIOR LLC,1,255007.0,1,255007.0
SCDEVICE LLC,1,275000.0,1,275000.0
OPTAVE DIAGNOSTICS LLC,1,256000.0,1,256000.0
POLARCTIC LLC,1,1000000.0,1,1000000.0
"QUIVER DENTAL, INC.",1,254360.0,2,254360.0
"FIBARCODE, LLC",1,1555000.0,2,1555000.0
NEARSTAR FUSION INC,1,265965.0,1,265965.0
"Novome Biotechnologies, Inc.",1,750000.0,1,750000.0
"HARDSHELL LABS, INC.",1,255014.0,1,255014.0
"Sober Grid, Inc.",1,749996.0,3,749996.0
CARRTECH LLC,1,275000.0,1,275000.0
"SurfPlasma, Inc.",1,878296.0,1,878296.0
"DNALITE THERAPEUTICS, INC.",1,967336.0,1,967336.0
Sunthru LLC,2,1256000.0,2,628000.0
PRHOBE INC,1,275000.0,1,275000.0
Chicago State University,1,999955.0,2,999955.0
IMVELA CORP.,1,1000000.0,1,1000000.0
American University,3,6025050.0,9,2008350.0
"Inanovate, Inc.",1,255851.0,1,255851.0
BLUEFUSION INC.,1,275000.0,1,275000.0
"ARTIMATIC TECHNOLOGIES, INC.",1,275000.0,1,275000.0
Fordham University,1,50000.0,1,50000.0
"GREEN SUN MEDICAL, LLC",1,965903.0,2,965903.0
State University of New York College of Technology at Canton,3,500000.0,5,166666.66666666666
BORON NITRIDE POWER LLC,1,256000.0,1,256000.0
ATLAS AI P.B.C.,1,999805.0,2,999805.0
FRUGI BIOTECHNOLOGY INC.,1,256000.0,2,256000.0
"WURQ, INC.",1,275000.0,1,275000.0
NORTHERN MARIANAS COLLEGE,1,399999.0,4,399999.0
"DYNOCARDIA, INC.",2,1255553.0,1,627776.5
"KAYA FERTILIZERS, LLC",1,305000.0,2,305000.0
FIELD PROPULSION TECHNONOGIES INC.,2,1256000.0,2,628000.0
ENVONICS LLC,1,256000.0,2,256000.0
The Bee Corp,1,749999.0,1,749999.0
STELLATE DNA LLC,1,256000.0,1,256000.0
EMPRISE CONCEPTS LLC,1,275000.0,2,275000.0
"ANEURISK, INC.",1,275000.0,1,275000.0
OPTIMIZING MIND,1,254746.0,1,254746.0
CL CHEMICAL COMPANY,1,951530.0,3,951530.0
WICKED CO-OP LCA,1,1000000.0,1,1000000.0
LIEBOLD TECHNOLOGIES LLC,1,266556.0,1,266556.0
SKILLSGAPP LLC,1,274428.0,1,274428.0
MACULA VISION SYSTEMS INC.,1,275000.0,1,275000.0
Xplosion Technology Corporation,1,252370.0,1,252370.0
Center for Strategic and International Studies Inc,1,299991.0,1,299991.0
"AUDIOT, INC.",1,275000.0,2,275000.0
"FILTRAVATE, INC.",1,255982.0,2,255982.0
RETRN BIOWORKS INC.,1,275000.0,2,275000.0
"KNOX NETWORKS, INC.",1,274193.0,1,274193.0
"LEARNICS, LLC",1,945159.0,1,945159.0
"CHS HEALTHCARE VENTURES, INC",1,255957.0,2,255957.0
Spine Align LLC,1,225000.0,2,225000.0
Belmont Scientific Inc.,1,1000000.0,1,1000000.0
Saint Michael's College,1,399781.0,4,399781.0
METFORA LLC,1,255706.0,1,255706.0
TRIANGLE ENVIRONMENTAL HEALTH INITIATIVE LLC,1,275000.0,1,275000.0
"ILANS, Inc.",1,736553.0,1,736553.0
Christopher Newport University,1,799996.0,4,799996.0
CELLUDOT LLC,2,1215423.0,1,607711.5
Mitre Corporation Virginia,1,1485111.0,3,1485111.0
"CIRCULARITY FUELS, INC.",1,275000.0,1,275000.0
ENDEAVOS INNOVATIONS INC,1,256000.0,1,256000.0
SIMPACT CO.,1,256000.0,2,256000.0
"3FATES-XRAY, INC.",1,274996.0,1,274996.0
"RE-SYNTH INTERNATIONAL, CORP.",1,245692.0,1,245692.0
NCO Technologies LLC,1,305000.0,1,305000.0
Madison Area Technical College,1,399168.0,2,399168.0
"CAMBRIAN WORKS, INC.",1,255941.0,1,255941.0
GENASSIST INC,1,274993.0,1,274993.0
"MARK O'NEILL, LLC",1,274524.0,1,274524.0
CHASCII INC,1,274548.0,1,274548.0
"CoreMap, Inc.",1,251134.0,1,251134.0
FruitVaccine Incorporation,1,256000.0,1,256000.0
TENDO TECHNOLOGIES INC,2,1255593.0,1,627796.5
University of Colorado at Colorado Springs,2,1367747.0,4,683873.5
"UCHU BIOSENSORS, INC.",1,1000000.0,1,1000000.0
OMEGA HYDRODYNAMICS RESEARCH LLC,1,256000.0,1,256000.0
ELITE NEURO INC,1,305000.0,3,305000.0
WOLFZYC LLC,1,255646.0,1,255646.0
"UBIQUITX, INC.",1,275000.0,1,275000.0
Cuyahoga Community College,1,400000.0,3,400000.0
"SENTEC, LLC",1,305000.0,2,305000.0
SOLIDEC INC.,1,1555000.0,1,1555000.0
NEXTGLASS LLC,1,256000.0,1,256000.0
Fisk University,1,90031.0,1,90031.0
Universities Space Research Association,1,999997.0,5,999997.0
ENABLE THERAPEUTICS LLC,1,251034.0,1,251034.0
"AUGUSTA UNIVERSITY RESEARCH INSTITUTE, INC.",1,999999.0,6,999999.0
"Boston Materials, Inc.",1,750000.0,1,750000.0
HALOMINE INC.,1,1000000.0,2,1000000.0
"EUGIT THERAPEUTICS, INC.",1,275000.0,1,275000.0
"POD NETWORK, LLC",1,295520.0,1,295520.0
"SURGIC, LLC",1,275000.0,1,275000.0
"LINEBIRD, INC.",1,256000.0,1,256000.0
Potsdam Sensors LLC,1,750000.0,2,750000.0
"ABSTRACT ENGINEERING, INC",1,750000.0,1,750000.0
NANO PHARMASOLUTIONS INC.,1,255961.0,1,255961.0
Smart Walls Construction LLC,1,749057.0,1,749057.0
Jackson State University,4,1899998.0,8,474999.5
LEAP PHOTONICS INC.,1,305000.0,1,305000.0
"DIGITAL COPILOT, INC.",1,304695.0,1,304695.0
PLANCK ENERGIES INC.,1,275000.0,1,275000.0
SARKAR-KLEIN-LABS,1,225000.0,3,225000.0
Rebel Research LLC,1,256000.0,2,256000.0
Pyrochem Catalyst Company,1,750000.0,2,750000.0
SAFERDRIVE AI LLC,1,1554922.0,1,1554922.0
"RED SHIFT ENERGY, INC.",1,275000.0,1,275000.0
"BIKO BIOLABS, LLC",1,256000.0,1,256000.0
Black & Decker (U.S.) Inc,1,573297.0,2,573297.0
"AgroSpheres, Inc.",1,999653.0,1,999653.0
"ZEPSOR TECHNOLOGIES, INC.",1,275000.0,1,275000.0
"MATMERIZE, INC.",1,273706.0,1,273706.0
Montclair State University,1,50000.0,1,50000.0
COMPACT MEDICAL SOLUTIONS LLC,2,1255856.0,1,627928.0
MSTATT LLC,1,997400.0,2,997400.0
"EnTox Sciences, LLC",1,749985.0,1,749985.0
"BRILLIANTMD, LLC",1,1000000.0,2,1000000.0
ASTRABEAM LLC,1,256000.0,2,256000.0
"AEON SCIENCES, LLC",1,255642.0,1,255642.0
DCAN BIOSCIENCES LLC,1,275000.0,1,275000.0
TEALE ENGINEERING LLC,1,255499.0,2,255499.0
VENCE CORP,1,255754.0,2,255754.0
HARRIS-STOWE STATE UNIVERSITY,1,400000.0,3,400000.0
Arkansas Tech University,1,400000.0,4,400000.0
"Neutroelectric, LLC",1,992923.0,1,992923.0
"Lumedica, Inc",1,999281.0,1,999281.0
"SIXLINE SEMICONDUCTOR, INC.",1,274503.0,2,274503.0
BEEKEEPING 101 LLC,1,274000.0,3,274000.0
"ND-DIAGENOMIX, INC.",1,305000.0,2,305000.0
Social Science Research Council,1,1235110.0,2,1235110.0
GENEXGEN INC,1,274763.0,2,274763.0
LELANTOS INC.,1,999251.0,2,999251.0
GRIT BIO INC,1,255981.0,2,255981.0
"ANOVA BIOMEDICAL, INC.",1,274811.0,1,274811.0
"AKTTYVA THERAPEUTICS, INC.",2,1255365.0,1,627682.5
"Ecolectro, Inc",1,747653.0,1,747653.0
"NEOCARE INNOVATIONS, INC.",1,943819.0,1,943819.0
PROVIZIGEN LLC,1,275000.0,3,275000.0
"Haima Therapeutics, LLC",1,749312.0,1,749312.0
"Core Quantum Technologies, Inc.",1,750000.0,2,750000.0
"RELAI, INC.",1,275000.0,1,275000.0
"Alef Omega, Inc.",1,750000.0,1,750000.0
COHI GROUP L.L.C.,1,247568.0,1,247568.0
FIRELINE SCIENCE LLC,2,1252004.0,1,626002.0
"INNOVISION, LLC",1,255735.0,1,255735.0
Widener University,1,399781.0,3,399781.0
Silverside Detectors Inc.,1,255663.0,1,255663.0
"Lapovations, LLC",1,999429.0,1,999429.0
YOLO IMMUNE INC,1,304665.0,1,304665.0
SoundPipe,1,750000.0,1,750000.0
Eonix LLC,1,256000.0,1,256000.0
Foresight Science & Technology Incorporated,1,210876.0,1,210876.0
Lawrence Technological University,2,799999.0,6,399999.5
"AGIL THERAPEUTICS, INC.",1,275000.0,1,275000.0
"SUNY, Upstate Medical University",1,50000.0,1,50000.0
"Codecraft Works, LLC",1,741395.0,3,741395.0
CARTILAGE INC,1,256000.0,1,256000.0
"CERFLUX, INC.",1,275000.0,1,275000.0
ESal,1,749947.0,1,749947.0
Kean University,1,400000.0,2,400000.0
"PIERSICA, INC.",2,1275000.0,1,637500.0
"Amberstone Biosciences, Inc.",1,1000000.0,1,1000000.0
"Personalized Learning Games, Inc.",1,749880.0,1,749880.0
REHABNETICS MEDICAL LLC,1,275000.0,1,275000.0
Mazdak International Inc.,1,237108.0,1,237108.0
MEALMATE INC.,1,256000.0,1,256000.0
WATERUS LLC,1,275000.0,1,275000.0
Teton Composites,1,739183.0,2,739183.0
LATTICE THERAPEUTICS INC,1,274947.0,1,274947.0
Coppin State University,1,400000.0,3,400000.0
KINETICCORE SOLUTIONS LLC,1,254820.0,1,254820.0
"HEIGHTS LABS, INC.",1,255946.0,1,255946.0
University of Maryland Eastern Shore,1,50000.0,1,50000.0
BIOMILITUS LLC,1,254689.0,1,254689.0
"HALO CURES, INC.",1,1210728.0,1,1210728.0
Allegheny College,1,399777.0,2,399777.0
LIVEDX INC.,1,274993.0,2,274993.0
"FUZEHUB, INC.",1,998514.0,2,998514.0
AwareAbility Technologies LLC,1,740857.0,1,740857.0
CUNY Graduate School University Center,1,50000.0,1,50000.0
LuxNour Technologies Inc,1,304507.0,1,304507.0
"XL BATTERIES, INC",1,997018.0,1,997018.0
V1 ENGINEERING LLC,1,255917.0,1,255917.0
TERRA WATTS INC.,1,305000.0,2,305000.0
"UNAR LABS, LLC",1,989095.0,2,989095.0
VRIENDS CORP,1,256000.0,2,256000.0
Anomalee Incorporated,1,255391.0,3,255391.0
Research Foundation For The State University of New York,1,570166.0,5,570166.0
WILD ME,1,297000.0,1,297000.0
QUANTUM METROLOGY,1,305000.0,1,305000.0
"CISION VISION, INC.",1,256000.0,1,256000.0
"SMART FLIP, INC.",1,255948.0,2,255948.0
ICARUS QUANTUM INC.,1,305000.0,1,305000.0
Irradiant Technologies Inc.,1,255687.0,1,255687.0
"TINY CARGO COMPANY, THE",1,216000.0,2,216000.0
SHARON WASHINGTON,1,274576.0,1,274576.0
Data & Society Research Institute,1,300000.0,3,300000.0
"IASO THERAPEUTICS, INC.",1,978597.0,1,978597.0
California State University-Stanislaus,1,400000.0,3,400000.0
Spartanburg Community College,1,399704.0,3,399704.0
STRIVISION LLC,1,255870.0,1,255870.0
"PRODUCTS FOR ANY LIFESTYLE, INC.",1,256000.0,1,256000.0
Chef Koochooloo,1,749963.0,1,749963.0
"Filament Games, LLC",1,733132.0,1,733132.0
Atomnaut Inc.,1,305000.0,1,305000.0
FOURIER LLC,1,275000.0,1,275000.0
Nucleos Incorporated,1,750000.0,1,750000.0
BERD LLC,1,750000.0,1,750000.0
University of Mississippi,1,150000.0,1,150000.0
"AURAL ANALYTICS, INC.",2,1006000.0,3,503000.0
FORCAST ORTHOPEDICS INC,1,999923.0,1,999923.0
"Neurovascular Diagnostics, Inc.",1,750000.0,2,750000.0
COBIO DIAGNOSTICS INC.,2,1240381.0,1,620190.5
"REVELATA, INC.",1,256000.0,1,256000.0
LIMELIGHT STEEL INC.,1,275000.0,1,275000.0
"CURATED NETWORKS, INC",1,217973.0,1,217973.0
"DEEPCAST, LLC",1,255613.0,1,255613.0
Metropolitan Community College Administrative Center,1,400000.0,2,400000.0
"MYCOLOGICS, LLC",1,256000.0,1,256000.0
MECHANO THERAPEUTICS LLC,1,275000.0,2,275000.0
FORCHUN LLC,1,274958.0,1,274958.0
"AV-CONNECT, INC.",1,999339.0,1,999339.0
Benedict College,1,400000.0,2,400000.0
LUX SEMICONDUCTORS INC,1,999755.0,1,999755.0
"JuneBrain, Inc.",1,1000000.0,1,1000000.0
SUNY College at Oneonta,1,50000.0,1,50000.0
LUMENASTRA,2,1256000.0,1,628000.0
"AQUAPAO, INC.",1,256000.0,2,256000.0
DEEPSEQAI LLC,1,274797.0,1,274797.0
SPACE DOMAIN AWARENESS INC.,1,256000.0,2,256000.0
Brookings Institution,1,850000.0,1,850000.0
CURRENT SURGICAL INC.,1,256000.0,1,256000.0
AXPRO SEMI,1,275000.0,1,275000.0
"INNAVASC MEDICAL, INC.",1,749943.0,1,749943.0
"HUXLEY MEDICAL, INC.",1,995933.0,1,995933.0
ENVIRONMENTAL PROTECTIVE COATINGS LLC,1,997950.0,1,997950.0
AIFLY VENTURES,1,255882.0,2,255882.0
"BLUESHIFT OPTICS, LLC",1,255788.0,1,255788.0
BARLEY & BRITCHES INC.,1,255003.0,1,255003.0
SPIRO THERAPEUTICS LLC,1,256000.0,2,256000.0
"ClearFlame Engines, Inc.",1,747192.0,1,747192.0
Drought Diet Products,1,256000.0,1,256000.0
"NEUROSONICS MEDICAL, INC.",1,224997.0,2,224997.0
"Soil Culture Solutions, LLC",1,990048.0,2,990048.0
Seton Hall University,1,50000.0,1,50000.0
"PatientsVoices, Inc.",1,691183.0,1,691183.0
"HELIPONIX, LLC",1,970993.0,1,970993.0
"CONOVATE, INC.",1,1000000.0,1,1000000.0
"PRINCETON CRITICAL MINERALS, INC.",1,1555000.0,1,1555000.0
"STRANGE DEVELOPMENT, INC.",1,955496.0,1,955496.0
MORPHOBOTICS LLC,1,274929.0,2,274929.0
"AERIS WATER TECHNOLOGIES, LLC",1,304996.0,1,304996.0
"OPTISORT, LLC",1,255644.0,1,255644.0
FRESHKUBE INC.,1,255981.0,1,255981.0
"Fathhome, Inc.",1,255999.0,1,255999.0
"4thought Technologies, Inc.",1,256000.0,1,256000.0
"LEARNING NETWORK, LLC, THE",2,1264117.0,1,632058.5
"WAVEARRAY ANTIFOULING SYSTEMS, LLC",1,999122.0,1,999122.0
"PRICING SERVICE, INC.",1,299700.0,1,299700.0
IBM Consulting Federal,1,750000.0,3,750000.0
"IBALLISTIX, LLC",1,256000.0,1,256000.0
STUDENT RESEARCH & DEVELOPMENT,1,999900.0,2,999900.0
NOMIS POWER GROUP LLC,1,255909.0,1,255909.0
Iridescent Sensors Inc.,1,649996.0,3,649996.0
"HYPERSOUND MEDICAL, INC.",1,256000.0,2,256000.0
MAYFAIR GROUP LLC,1,274999.0,1,274999.0
"PARTICLE4X, INC.",1,304972.0,1,304972.0
"CONOX, LLC",1,256000.0,2,256000.0
2PI INC.,1,256000.0,1,256000.0
"BROWNBACK STUDIOS, LLC",1,256000.0,1,256000.0
"SEASPIRE, INC.",1,247617.0,1,247617.0
PLASTOMICS INC.,1,225000.0,1,225000.0
ORTUVO LLC,1,256000.0,3,256000.0
"Raydiant Oximetry, Inc",1,999392.0,1,999392.0
"PALENA THERAPEUTICS, INC.",1,305000.0,1,305000.0
REVMEDICA INC.,1,255881.0,1,255881.0
VAYUH INC,1,275000.0,1,275000.0
"Ambercycle, Inc.",1,750000.0,1,750000.0
INTRINSYX BIO INC.,1,254735.0,1,254735.0
LLC BG BIOLOGICS,1,275000.0,2,275000.0
"IMPERIUM TECHNOLOGIES, INC.",1,275000.0,1,275000.0
"MEDMICROMAPS, LLC",1,274388.0,1,274388.0
"US AIR TECH, LLC",2,1235625.0,1,617812.5
Ernest Pharmaceuticals,1,1000000.0,1,1000000.0
LAKRIL TECHNOLOGIES CORPORATION,1,256000.0,2,256000.0
"ORALIVA, INC.",2,1519392.0,2,759696.0
Mark Miles Consulting Inc.,1,781738.0,1,781738.0
"AREN, INC.",1,256000.0,1,256000.0
Farm Vision Technologies Inc,1,743082.0,1,743082.0
LIFENGINE ANIMAL HEALTH LABORATORIES INCORPORATED,2,1198924.0,1,599462.0
DEEPCONVO INC.,1,999994.0,1,999994.0
SUNY CANTON,1,50000.0,1,50000.0
DASION CORPORATION,2,1255986.0,1,627993.0
"Vulcan Biologics, Inc.",1,989854.0,1,989854.0
APPLIED SENTIENCE INC.,1,275000.0,1,275000.0
"TERRA COVER, INC.",1,255880.0,1,255880.0
"FLORICA THERAPEUTICS, INC.",1,255678.0,1,255678.0
VECARIUS,1,499900.0,1,499900.0
"SKUCHAIN, INC.",1,255780.0,1,255780.0
PASCAL TAGS INC,1,1000000.0,1,1000000.0
"EYEDEA MEDICAL, INC",1,1000000.0,1,1000000.0
Ohio University,1,134139.0,1,134139.0
North Central College,1,106874.0,2,106874.0
LATERAL.SYSTEMS LLC,1,275000.0,1,275000.0
"SEVEN BIOSCIENCES, INC.",1,225000.0,1,225000.0
Houston Community College,1,399999.0,2,399999.0
CARBON SOLUTIONS LLC,1,275000.0,2,275000.0
GP IONICS LLC,1,255400.0,1,255400.0
TARTAN LLC,1,255730.0,1,255730.0
Tuskegee University,1,394791.0,1,394791.0
REEFGEN INC.,1,962769.0,3,962769.0
LUMONIQ INC,1,275000.0,1,275000.0
BrainStem Biometrics,1,750000.0,1,750000.0
TRESTLE OPTICS LLC,1,275000.0,1,275000.0
VERBOSO LLC,1,250293.0,1,250293.0
ALL-IN PEPPERS AND SPECIALTY PRODUCE LLC,1,275000.0,1,275000.0
WILD MICROBES CO,1,275000.0,1,275000.0
KRNC INC.,1,225000.0,1,225000.0
NOON ENERGY INC.,1,1000000.0,1,1000000.0
OCULOGENEX,2,1256000.0,2,628000.0
"HC Simulation, LLC",1,236969.0,1,236969.0
